"Federal Provider Number","Provider State","Percent Vaccinated Residents","Percent Vaccinated Healthcare Personnel","Date vaccination data last updated"
"015009","AL","94.0","69.8","12/12/2021"
"015010","AL","94.7","54.7","12/12/2021"
"015012","AL","100.0","83.1","12/12/2021"
"015014","AL","97.3","92.8","12/12/2021"
"015015","AL","91.1","75.3","12/12/2021"
"015016","AL","75.0","80.4","12/12/2021"
"015019","AL","85.1","97.3","12/12/2021"
"015023","AL","100.0","78.0","12/12/2021"
"015024","AL","92.3","78.4","12/12/2021"
"015027","AL","78.9","68.6","12/12/2021"
"015028","AL","75.8","96.9","12/12/2021"
"015031","AL","87.3","81.8","12/12/2021"
"015032","AL","74.3","63.5","12/12/2021"
"015034","AL","85.1","84.4","12/12/2021"
"015035","AL","87.5","66.0","12/12/2021"
"015037","AL","82.6","56.8","12/12/2021"
"015040","AL","78.6","55.4","12/12/2021"
"015042","AL","80.0","77.3","12/12/2021"
"015044","AL","100.0","61.3","12/12/2021"
"015045","AL","95.7","86.0","12/12/2021"
"015047","AL","88.8","79.4","12/12/2021"
"015048","AL","90.9","80.2","12/12/2021"
"015049","AL","81.7","80.1","12/12/2021"
"015050","AL","87.9","76.7","12/12/2021"
"015053","AL","95.2","70.7","12/12/2021"
"015060","AL","100.0","63.3","12/12/2021"
"015063","AL","94.9","76.1","12/12/2021"
"015065","AL","75.0","64.1","12/12/2021"
"015066","AL","76.5","77.5","12/12/2021"
"015067","AL","81.8","92.9","12/12/2021"
"015071","AL","91.4","73.3","12/12/2021"
"015073","AL","98.4","99.2","12/12/2021"
"015075","AL","91.2","72.1","12/12/2021"
"015076","AL","83.8","68.5","12/12/2021"
"015083","AL","79.8","89.9","12/12/2021"
"015084","AL","72.7","52.2","12/12/2021"
"015089","AL","93.0","84.6","12/12/2021"
"015091","AL","88.8","66.1","12/12/2021"
"015097","AL","83.1","88.8","12/12/2021"
"015098","AL","93.8","69.3","12/12/2021"
"015100","AL","92.2","74.0","12/12/2021"
"015101","AL","91.3","73.8","12/12/2021"
"015103","AL","68.9","54.7","12/12/2021"
"015104","AL","98.1","91.1","12/12/2021"
"015109","AL","97.7","87.2","12/12/2021"
"015111","AL","76.9","76.4","12/12/2021"
"015112","AL","Not Available","Not Available","12/12/2021"
"015113","AL","82.2","98.9","12/12/2021"
"015114","AL","95.9","89.9","12/12/2021"
"015115","AL","86.7","69.7","12/12/2021"
"015116","AL","77.0","75.2","12/12/2021"
"015117","AL","75.0","87.2","12/12/2021"
"015119","AL","63.8","61.5","12/12/2021"
"015120","AL","84.3","67.6","12/12/2021"
"015121","AL","97.1","63.6","12/12/2021"
"015123","AL","96.0","74.4","12/12/2021"
"015124","AL","89.6","82.0","12/12/2021"
"015126","AL","83.8","64.6","12/12/2021"
"015127","AL","75.2","44.9","12/12/2021"
"015128","AL","86.6","49.0","12/12/2021"
"015129","AL","78.9","60.7","12/12/2021"
"015132","AL","82.2","74.5","12/12/2021"
"015133","AL","82.4","98.2","12/12/2021"
"015134","AL","83.9","100.0","12/12/2021"
"015135","AL","100.0","70.1","12/12/2021"
"015136","AL","92.2","75.5","12/12/2021"
"015137","AL","85.0","66.7","12/12/2021"
"015138","AL","Not Available","Not Available","12/12/2021"
"015139","AL","63.3","75.8","12/12/2021"
"015141","AL","88.9","66.2","12/12/2021"
"015142","AL","81.1","79.1","12/12/2021"
"015143","AL","59.2","52.5","12/12/2021"
"015144","AL","74.2","64.7","12/12/2021"
"015145","AL","Not Available","Not Available","12/12/2021"
"015147","AL","80.4","98.5","12/12/2021"
"015148","AL","91.3","55.8","12/12/2021"
"015149","AL","88.5","75.0","12/12/2021"
"015150","AL","84.3","49.2","12/12/2021"
"015151","AL","70.8","75.7","12/12/2021"
"015152","AL","91.3","69.1","12/12/2021"
"015153","AL","71.0","72.5","12/12/2021"
"015154","AL","96.6","55.1","12/12/2021"
"015155","AL","83.6","59.7","12/12/2021"
"015156","AL","95.6","75.9","12/12/2021"
"015157","AL","78.3","87.1","12/12/2021"
"015158","AL","Not Available","Not Available","12/12/2021"
"015159","AL","90.3","70.2","12/12/2021"
"015160","AL","73.5","69.6","12/12/2021"
"015162","AL","88.9","67.1","12/12/2021"
"015163","AL","81.4","63.6","12/12/2021"
"015164","AL","76.3","78.0","12/12/2021"
"015166","AL","93.5","73.6","12/12/2021"
"015167","AL","86.4","55.2","12/12/2021"
"015168","AL","96.2","88.8","12/12/2021"
"015169","AL","63.0","73.3","12/12/2021"
"015171","AL","93.4","83.6","12/12/2021"
"015174","AL","77.5","46.0","12/12/2021"
"015175","AL","88.1","76.5","12/12/2021"
"015176","AL","81.8","78.1","12/12/2021"
"015177","AL","95.4","86.3","12/12/2021"
"015178","AL","92.1","70.1","12/12/2021"
"015179","AL","92.8","88.9","12/12/2021"
"015180","AL","90.1","67.1","12/12/2021"
"015182","AL","81.6","64.1","12/12/2021"
"015183","AL","72.9","58.6","12/12/2021"
"015184","AL","80.0","54.8","12/12/2021"
"015186","AL","74.5","78.1","12/12/2021"
"015187","AL","87.1","84.3","12/12/2021"
"015188","AL","91.0","73.7","12/12/2021"
"015189","AL","55.4","76.3","12/12/2021"
"015191","AL","90.2","86.7","12/12/2021"
"015192","AL","99.2","90.3","12/12/2021"
"015193","AL","88.5","72.3","12/12/2021"
"015194","AL","83.9","95.3","12/12/2021"
"015195","AL","77.8","59.2","12/12/2021"
"015196","AL","87.3","53.3","12/12/2021"
"015197","AL","80.7","86.2","12/12/2021"
"015199","AL","88.4","75.5","12/12/2021"
"015200","AL","76.4","97.8","12/12/2021"
"015201","AL","90.4","64.2","12/12/2021"
"015202","AL","80.5","58.7","12/12/2021"
"015203","AL","89.5","51.2","12/12/2021"
"015204","AL","90.4","87.1","12/12/2021"
"015206","AL","88.4","85.2","12/12/2021"
"015207","AL","81.1","65.7","12/12/2021"
"015208","AL","80.9","62.6","12/12/2021"
"015209","AL","76.7","67.9","12/12/2021"
"015210","AL","80.3","72.2","12/12/2021"
"015211","AL","70.4","80.9","12/12/2021"
"015212","AL","89.9","79.1","12/12/2021"
"015213","AL","95.7","81.9","12/12/2021"
"015214","AL","93.2","80.2","12/12/2021"
"015215","AL","96.6","76.4","12/12/2021"
"015216","AL","88.6","44.9","12/12/2021"
"015217","AL","84.2","87.2","12/12/2021"
"015220","AL","73.1","77.0","12/12/2021"
"015221","AL","93.2","58.6","12/12/2021"
"015222","AL","94.9","88.6","12/12/2021"
"015223","AL","69.3","61.9","12/12/2021"
"015225","AL","83.5","73.0","12/12/2021"
"015227","AL","88.7","58.7","12/12/2021"
"015228","AL","74.8","81.0","12/12/2021"
"015303","AL","92.1","67.8","12/12/2021"
"015315","AL","92.2","90.9","12/12/2021"
"015320","AL","92.0","67.9","12/12/2021"
"015321","AL","76.6","65.5","12/12/2021"
"015322","AL","82.7","65.8","12/12/2021"
"015326","AL","85.3","71.0","12/12/2021"
"015330","AL","100.0","87.6","12/12/2021"
"015331","AL","95.4","84.5","12/12/2021"
"015336","AL","74.8","70.1","12/12/2021"
"015361","AL","96.5","75.6","12/12/2021"
"015369","AL","96.0","76.0","12/12/2021"
"015371","AL","87.9","67.6","12/12/2021"
"015372","AL","Not Available","Not Available","12/12/2021"
"015373","AL","78.3","65.2","12/12/2021"
"015374","AL","96.2","91.4","12/12/2021"
"015375","AL","82.5","78.5","12/12/2021"
"015376","AL","80.0","56.9","12/12/2021"
"015378","AL","68.7","64.6","12/12/2021"
"015379","AL","94.9","77.4","12/12/2021"
"015381","AL","79.5","90.3","12/12/2021"
"015382","AL","65.3","73.3","12/12/2021"
"015383","AL","90.5","74.4","12/12/2021"
"015386","AL","93.6","83.1","12/12/2021"
"015388","AL","88.2","78.3","12/12/2021"
"015390","AL","75.8","89.1","12/12/2021"
"015391","AL","72.1","70.1","12/12/2021"
"015392","AL","83.1","100.0","12/12/2021"
"015393","AL","87.4","67.4","12/12/2021"
"015396","AL","92.6","84.3","12/12/2021"
"015397","AL","78.9","66.3","12/12/2021"
"015398","AL","83.9","72.1","12/12/2021"
"015400","AL","93.0","68.3","12/12/2021"
"015402","AL","100.0","83.5","12/12/2021"
"015403","AL","71.6","55.0","12/12/2021"
"015404","AL","94.6","90.9","12/12/2021"
"015406","AL","78.1","39.2","12/12/2021"
"015407","AL","72.9","33.3","12/12/2021"
"015408","AL","95.7","63.3","12/12/2021"
"015410","AL","75.0","65.2","12/12/2021"
"015411","AL","85.9","68.4","12/12/2021"
"015413","AL","88.4","71.8","12/12/2021"
"015414","AL","97.8","86.2","12/12/2021"
"015415","AL","Not Available","Not Available","12/12/2021"
"015416","AL","72.5","65.5","12/12/2021"
"015417","AL","94.2","65.3","12/12/2021"
"015419","AL","84.1","45.6","12/12/2021"
"015420","AL","75.0","59.8","12/12/2021"
"015422","AL","87.7","66.0","12/12/2021"
"015423","AL","90.9","89.6","12/12/2021"
"015424","AL","81.1","43.4","12/12/2021"
"015425","AL","90.1","69.9","12/12/2021"
"015426","AL","93.3","86.4","12/12/2021"
"015429","AL","80.8","69.7","12/12/2021"
"015431","AL","83.0","78.1","12/12/2021"
"015433","AL","98.3","86.3","12/12/2021"
"015434","AL","76.0","79.7","12/12/2021"
"015435","AL","93.7","93.7","12/12/2021"
"015436","AL","93.5","75.7","12/12/2021"
"015437","AL","81.0","62.2","12/12/2021"
"015440","AL","71.8","66.4","12/12/2021"
"015442","AL","98.0","89.3","12/12/2021"
"015443","AL","95.5","62.6","12/12/2021"
"015445","AL","79.8","77.0","12/12/2021"
"015446","AL","94.1","82.3","12/12/2021"
"015447","AL","95.8","31.0","12/12/2021"
"015448","AL","84.5","62.0","12/12/2021"
"015450","AL","93.2","97.6","12/12/2021"
"015451","AL","66.7","64.1","12/12/2021"
"015452","AL","97.2","81.7","12/12/2021"
"015453","AL","90.6","76.2","12/12/2021"
"015454","AL","98.0","81.3","12/12/2021"
"015455","AL","86.7","66.4","12/12/2021"
"015456","AL","62.1","59.9","12/12/2021"
"015457","AL","95.5","78.0","12/12/2021"
"015458","AL","81.9","55.3","12/12/2021"
"015459","AL","100.0","100.0","12/12/2021"
"015460","AL","80.4","64.3","12/12/2021"
"015461","AL","74.0","80.1","12/12/2021"
"015463","AL","93.6","35.3","12/12/2021"
"015464","AL","49.5","77.3","12/12/2021"
"015465","AL","87.0","67.1","12/12/2021"
"015467","AL","90.2","63.3","12/12/2021"
"015468","AL","90.5","70.7","12/12/2021"
"015471","AL","0.0","89.3","12/12/2021"
"01A193","AL","0.0","71.6","12/12/2021"
"01A208","AL","48.7","70.4","12/12/2021"
"025010","AK","100.0","100.0","12/12/2021"
"025015","AK","100.0","96.4","12/12/2021"
"025018","AK","84.6","93.9","12/12/2021"
"025019","AK","100.0","100.0","12/12/2021"
"025020","AK","87.5","82.6","12/12/2021"
"025021","AK","93.9","66.7","12/12/2021"
"025024","AK","95.0","88.6","12/12/2021"
"025025","AK","68.3","75.2","12/12/2021"
"025026","AK","Not Available","100.0","12/12/2021"
"025027","AK","93.8","90.5","12/12/2021"
"025028","AK","90.0","96.9","12/12/2021"
"025030","AK","90.9","86.4","12/12/2021"
"025031","AK","100.0","62.6","12/12/2021"
"025032","AK","100.0","97.2","12/12/2021"
"025034","AK","100.0","85.5","12/12/2021"
"025035","AK","88.9","100.0","12/12/2021"
"025036","AK","97.9","96.5","12/12/2021"
"025037","AK","100.0","100.0","12/12/2021"
"025038","AK","Not Available","Not Available","12/12/2021"
"025039","AK","81.4","48.9","12/12/2021"
"035003","AZ","93.8","95.3","12/12/2021"
"035004","AZ","86.0","94.0","12/12/2021"
"035014","AZ","44.6","73.8","12/12/2021"
"035016","AZ","81.1","89.2","12/12/2021"
"035059","AZ","83.1","69.0","12/12/2021"
"035062","AZ","82.5","64.8","12/12/2021"
"035064","AZ","98.5","94.3","12/12/2021"
"035068","AZ","78.3","86.3","12/12/2021"
"035070","AZ","67.6","58.0","12/12/2021"
"035071","AZ","70.2","62.6","12/12/2021"
"035072","AZ","86.3","55.4","12/12/2021"
"035073","AZ","98.3","90.7","12/12/2021"
"035074","AZ","Not Available","Not Available","12/12/2021"
"035076","AZ","69.7","54.6","12/12/2021"
"035083","AZ","80.3","44.8","12/12/2021"
"035084","AZ","84.7","79.7","12/12/2021"
"035085","AZ","73.9","67.8","12/12/2021"
"035086","AZ","83.1","71.1","12/12/2021"
"035087","AZ","72.7","60.2","12/12/2021"
"035088","AZ","40.5","60.4","12/12/2021"
"035091","AZ","93.3","92.9","12/12/2021"
"035092","AZ","62.7","58.6","12/12/2021"
"035093","AZ","65.4","75.0","12/12/2021"
"035094","AZ","79.7","68.6","12/12/2021"
"035095","AZ","69.3","76.6","12/12/2021"
"035096","AZ","76.4","71.1","12/12/2021"
"035097","AZ","61.8","43.5","12/12/2021"
"035099","AZ","49.5","70.7","12/12/2021"
"035100","AZ","57.4","77.2","12/12/2021"
"035101","AZ","70.7","63.9","12/12/2021"
"035103","AZ","32.0","76.6","12/12/2021"
"035105","AZ","68.0","66.9","12/12/2021"
"035106","AZ","73.1","60.5","12/12/2021"
"035107","AZ","73.9","67.2","12/12/2021"
"035110","AZ","90.7","59.4","12/12/2021"
"035111","AZ","66.1","64.3","12/12/2021"
"035112","AZ","88.5","82.1","12/12/2021"
"035114","AZ","97.2","48.8","12/12/2021"
"035116","AZ","73.7","72.6","12/12/2021"
"035117","AZ","86.2","70.0","12/12/2021"
"035118","AZ","72.5","47.7","12/12/2021"
"035120","AZ","88.8","77.3","12/12/2021"
"035121","AZ","79.5","87.1","12/12/2021"
"035125","AZ","75.9","88.4","12/12/2021"
"035126","AZ","88.1","87.9","12/12/2021"
"035127","AZ","93.5","99.0","12/12/2021"
"035130","AZ","93.2","88.7","12/12/2021"
"035131","AZ","43.5","53.7","12/12/2021"
"035132","AZ","53.0","68.9","12/12/2021"
"035133","AZ","81.0","85.8","12/12/2021"
"035134","AZ","83.1","61.7","12/12/2021"
"035135","AZ","51.0","66.6","12/12/2021"
"035136","AZ","70.0","96.4","12/12/2021"
"035137","AZ","90.0","83.2","12/12/2021"
"035139","AZ","53.7","71.2","12/12/2021"
"035140","AZ","90.3","100.0","12/12/2021"
"035141","AZ","85.2","82.0","12/12/2021"
"035143","AZ","81.3","78.4","12/12/2021"
"035144","AZ","56.8","67.0","12/12/2021"
"035145","AZ","89.5","85.4","12/12/2021"
"035146","AZ","72.0","82.8","12/12/2021"
"035147","AZ","79.1","82.7","12/12/2021"
"035151","AZ","66.3","67.7","12/12/2021"
"035152","AZ","90.0","81.1","12/12/2021"
"035154","AZ","91.2","92.0","12/12/2021"
"035158","AZ","82.1","74.6","12/12/2021"
"035159","AZ","70.8","68.4","12/12/2021"
"035164","AZ","74.7","61.0","12/12/2021"
"035165","AZ","82.5","92.5","12/12/2021"
"035166","AZ","80.2","88.4","12/12/2021"
"035169","AZ","56.2","34.3","12/12/2021"
"035171","AZ","62.7","63.0","12/12/2021"
"035172","AZ","58.1","35.0","12/12/2021"
"035173","AZ","63.0","84.8","12/12/2021"
"035174","AZ","81.2","73.6","12/12/2021"
"035175","AZ","62.6","62.4","12/12/2021"
"035176","AZ","94.7","89.7","12/12/2021"
"035180","AZ","94.5","95.5","12/12/2021"
"035183","AZ","60.5","56.1","12/12/2021"
"035189","AZ","77.5","60.4","12/12/2021"
"035190","AZ","59.3","72.0","12/12/2021"
"035193","AZ","73.0","40.3","12/12/2021"
"035196","AZ","78.9","97.0","12/12/2021"
"035197","AZ","Not Available","Not Available","12/12/2021"
"035205","AZ","98.2","83.5","12/12/2021"
"035207","AZ","71.6","73.2","12/12/2021"
"035214","AZ","81.8","68.1","12/12/2021"
"035216","AZ","81.8","87.2","12/12/2021"
"035217","AZ","89.5","76.1","12/12/2021"
"035225","AZ","85.7","97.8","12/12/2021"
"035231","AZ","88.1","93.5","12/12/2021"
"035232","AZ","70.8","66.0","12/12/2021"
"035233","AZ","65.8","62.3","12/12/2021"
"035234","AZ","83.3","69.8","12/12/2021"
"035240","AZ","83.6","44.7","12/12/2021"
"035241","AZ","69.7","74.8","12/12/2021"
"035242","AZ","98.2","99.0","12/12/2021"
"035243","AZ","0.0","0.0","12/12/2021"
"035244","AZ","79.2","61.9","12/12/2021"
"035245","AZ","61.4","65.2","12/12/2021"
"035247","AZ","97.6","94.7","12/12/2021"
"035249","AZ","74.5","39.7","12/12/2021"
"035250","AZ","83.6","86.0","12/12/2021"
"035251","AZ","93.0","68.6","12/12/2021"
"035253","AZ","87.8","97.8","12/12/2021"
"035254","AZ","98.9","90.4","12/12/2021"
"035255","AZ","80.1","83.2","12/12/2021"
"035256","AZ","100.0","87.7","12/12/2021"
"035257","AZ","80.6","89.6","12/12/2021"
"035260","AZ","97.1","95.0","12/12/2021"
"035262","AZ","98.7","52.9","12/12/2021"
"035263","AZ","100.0","97.4","12/12/2021"
"035264","AZ","90.0","76.7","12/12/2021"
"035265","AZ","91.5","82.0","12/12/2021"
"035266","AZ","85.7","82.8","12/12/2021"
"035268","AZ","100.0","68.8","12/12/2021"
"035270","AZ","75.3","97.1","12/12/2021"
"035272","AZ","100.0","99.2","12/12/2021"
"035273","AZ","100.0","100.0","12/12/2021"
"035275","AZ","74.0","67.5","12/12/2021"
"035276","AZ","84.0","87.5","12/12/2021"
"035277","AZ","88.3","50.0","12/12/2021"
"035279","AZ","100.0","97.5","12/12/2021"
"035280","AZ","76.7","96.5","12/12/2021"
"035281","AZ","100.0","99.0","12/12/2021"
"035282","AZ","76.1","73.3","12/12/2021"
"035283","AZ","69.0","82.0","12/12/2021"
"035284","AZ","97.7","75.4","12/12/2021"
"035285","AZ","74.1","74.7","12/12/2021"
"035286","AZ","88.8","88.4","12/12/2021"
"035287","AZ","36.4","55.8","12/12/2021"
"035288","AZ","58.0","63.3","12/12/2021"
"035289","AZ","66.0","57.8","12/12/2021"
"035290","AZ","68.2","49.0","12/12/2021"
"035291","AZ","80.0","80.6","12/12/2021"
"035292","AZ","61.5","59.2","12/12/2021"
"035293","AZ","89.8","72.2","12/12/2021"
"035295","AZ","84.5","88.4","12/12/2021"
"035296","AZ","65.9","93.8","12/12/2021"
"035297","AZ","50.9","42.3","12/12/2021"
"035298","AZ","82.4","75.3","12/12/2021"
"035299","AZ","80.0","75.3","12/12/2021"
"035300","AZ","Not Available","Not Available","12/12/2021"
"045070","AR","86.8","80.0","12/12/2021"
"045098","AR","90.3","74.7","12/12/2021"
"045125","AR","100.0","97.4","12/12/2021"
"045134","AR","88.4","62.9","12/12/2021"
"045135","AR","92.0","81.5","12/12/2021"
"045138","AR","85.5","75.9","12/12/2021"
"045140","AR","90.7","71.3","12/12/2021"
"045142","AR","79.6","65.4","12/12/2021"
"045143","AR","100.0","100.0","12/12/2021"
"045146","AR","69.2","54.9","12/12/2021"
"045147","AR","85.7","85.3","12/12/2021"
"045148","AR","88.9","61.7","12/12/2021"
"045149","AR","Not Available","Not Available","12/12/2021"
"045151","AR","88.5","77.9","12/12/2021"
"045153","AR","85.4","72.9","12/12/2021"
"045155","AR","88.5","97.1","12/12/2021"
"045157","AR","88.9","92.2","12/12/2021"
"045158","AR","67.9","56.5","12/12/2021"
"045166","AR","92.1","74.3","12/12/2021"
"045167","AR","78.1","81.1","12/12/2021"
"045168","AR","95.7","95.7","12/12/2021"
"045170","AR","88.2","83.2","12/12/2021"
"045172","AR","88.4","86.2","12/12/2021"
"045173","AR","94.1","94.1","12/12/2021"
"045176","AR","90.1","81.8","12/12/2021"
"045177","AR","92.5","67.8","12/12/2021"
"045178","AR","96.7","54.2","12/12/2021"
"045180","AR","88.0","87.5","12/12/2021"
"045182","AR","92.6","92.9","12/12/2021"
"045183","AR","81.9","93.8","12/12/2021"
"045184","AR","74.5","83.3","12/12/2021"
"045187","AR","86.3","85.7","12/12/2021"
"045189","AR","94.0","72.7","12/12/2021"
"045190","AR","84.8","60.0","12/12/2021"
"045191","AR","96.0","86.3","12/12/2021"
"045192","AR","74.0","58.1","12/12/2021"
"045194","AR","72.7","77.9","12/12/2021"
"045195","AR","82.6","74.6","12/12/2021"
"045196","AR","85.1","87.9","12/12/2021"
"045197","AR","82.5","62.8","12/12/2021"
"045199","AR","72.4","75.3","12/12/2021"
"045201","AR","97.1","98.8","12/12/2021"
"045202","AR","93.0","96.6","12/12/2021"
"045203","AR","80.4","54.8","12/12/2021"
"045207","AR","93.0","81.2","12/12/2021"
"045208","AR","92.9","96.4","12/12/2021"
"045209","AR","91.3","90.6","12/12/2021"
"045211","AR","75.3","79.0","12/12/2021"
"045212","AR","82.6","53.5","12/12/2021"
"045214","AR","85.2","100.0","12/12/2021"
"045216","AR","86.6","77.3","12/12/2021"
"045217","AR","70.5","66.3","12/12/2021"
"045218","AR","80.4","83.6","12/12/2021"
"045219","AR","90.9","76.3","12/12/2021"
"045220","AR","75.3","77.5","12/12/2021"
"045221","AR","66.7","84.1","12/12/2021"
"045222","AR","89.7","72.9","12/12/2021"
"045227","AR","83.1","84.6","12/12/2021"
"045228","AR","83.9","82.5","12/12/2021"
"045232","AR","81.1","71.4","12/12/2021"
"045236","AR","88.5","67.8","12/12/2021"
"045239","AR","92.2","92.6","12/12/2021"
"045241","AR","86.9","94.6","12/12/2021"
"045242","AR","91.7","61.0","12/12/2021"
"045243","AR","91.6","87.9","12/12/2021"
"045244","AR","94.9","91.6","12/12/2021"
"045245","AR","88.4","78.2","12/12/2021"
"045246","AR","98.2","97.8","12/12/2021"
"045247","AR","93.7","92.7","12/12/2021"
"045248","AR","81.9","87.9","12/12/2021"
"045250","AR","87.5","88.7","12/12/2021"
"045254","AR","95.3","92.0","12/12/2021"
"045256","AR","88.9","85.1","12/12/2021"
"045259","AR","94.2","73.8","12/12/2021"
"045266","AR","94.4","69.0","12/12/2021"
"045267","AR","82.3","63.4","12/12/2021"
"045268","AR","82.3","72.5","12/12/2021"
"045269","AR","76.9","90.1","12/12/2021"
"045270","AR","91.9","87.7","12/12/2021"
"045271","AR","88.8","98.8","12/12/2021"
"045275","AR","85.1","80.8","12/12/2021"
"045277","AR","74.5","68.4","12/12/2021"
"045280","AR","81.1","98.0","12/12/2021"
"045284","AR","71.2","66.2","12/12/2021"
"045287","AR","69.7","48.3","12/12/2021"
"045288","AR","79.5","78.6","12/12/2021"
"045289","AR","98.1","98.5","12/12/2021"
"045290","AR","92.4","98.6","12/12/2021"
"045295","AR","Not Available","Not Available","12/12/2021"
"045297","AR","91.1","85.5","12/12/2021"
"045300","AR","94.4","83.1","12/12/2021"
"045301","AR","96.2","96.7","12/12/2021"
"045302","AR","95.7","100.0","12/12/2021"
"045303","AR","96.6","92.6","12/12/2021"
"045304","AR","89.6","79.3","12/12/2021"
"045305","AR","96.6","73.6","12/12/2021"
"045306","AR","93.4","80.2","12/12/2021"
"045308","AR","92.1","87.5","12/12/2021"
"045311","AR","0.0","0.0","12/12/2021"
"045312","AR","98.5","78.0","12/12/2021"
"045313","AR","100.0","77.5","12/12/2021"
"045314","AR","89.6","68.1","12/12/2021"
"045315","AR","88.1","98.6","12/12/2021"
"045317","AR","83.2","62.5","12/12/2021"
"045318","AR","94.5","73.2","12/12/2021"
"045322","AR","90.4","95.9","12/12/2021"
"045323","AR","91.5","74.0","12/12/2021"
"045326","AR","85.5","76.2","12/12/2021"
"045327","AR","82.7","87.1","12/12/2021"
"045334","AR","84.6","42.6","12/12/2021"
"045337","AR","87.9","93.9","12/12/2021"
"045338","AR","87.5","96.8","12/12/2021"
"045339","AR","80.0","92.2","12/12/2021"
"045340","AR","95.5","89.9","12/12/2021"
"045341","AR","86.3","76.5","12/12/2021"
"045342","AR","87.8","94.2","12/12/2021"
"045343","AR","92.5","95.2","12/12/2021"
"045345","AR","63.2","59.8","12/12/2021"
"045346","AR","88.3","95.2","12/12/2021"
"045348","AR","0.0","0.0","12/12/2021"
"045350","AR","92.5","83.9","12/12/2021"
"045351","AR","78.0","94.7","12/12/2021"
"045352","AR","81.8","88.1","12/12/2021"
"045353","AR","80.4","64.0","12/12/2021"
"045354","AR","83.1","88.4","12/12/2021"
"045356","AR","78.9","88.2","12/12/2021"
"045357","AR","83.0","78.6","12/12/2021"
"045358","AR","84.0","82.7","12/12/2021"
"045359","AR","93.4","67.1","12/12/2021"
"045361","AR","84.0","76.7","12/12/2021"
"045363","AR","59.8","76.0","12/12/2021"
"045364","AR","88.4","94.7","12/12/2021"
"045365","AR","93.3","79.7","12/12/2021"
"045366","AR","71.9","60.0","12/12/2021"
"045367","AR","95.0","91.9","12/12/2021"
"045369","AR","91.3","72.3","12/12/2021"
"045370","AR","86.3","93.9","12/12/2021"
"045371","AR","89.1","94.5","12/12/2021"
"045372","AR","92.5","80.6","12/12/2021"
"045373","AR","92.9","91.0","12/12/2021"
"045374","AR","79.0","100.0","12/12/2021"
"045376","AR","91.5","92.8","12/12/2021"
"045377","AR","84.2","71.1","12/12/2021"
"045378","AR","83.6","78.5","12/12/2021"
"045379","AR","85.2","51.0","12/12/2021"
"045380","AR","89.3","89.8","12/12/2021"
"045381","AR","92.9","96.6","12/12/2021"
"045383","AR","77.4","50.8","12/12/2021"
"045384","AR","95.7","82.1","12/12/2021"
"045385","AR","78.0","71.3","12/12/2021"
"045386","AR","85.2","96.5","12/12/2021"
"045387","AR","96.9","95.7","12/12/2021"
"045390","AR","84.5","40.4","12/12/2021"
"045391","AR","98.9","87.6","12/12/2021"
"045392","AR","86.8","81.8","12/12/2021"
"045393","AR","91.6","75.4","12/12/2021"
"045394","AR","94.1","84.2","12/12/2021"
"045396","AR","87.3","80.9","12/12/2021"
"045398","AR","97.3","87.3","12/12/2021"
"045401","AR","87.0","53.4","12/12/2021"
"045402","AR","86.7","97.0","12/12/2021"
"045403","AR","81.8","53.4","12/12/2021"
"045404","AR","100.0","100.0","12/12/2021"
"045407","AR","83.6","82.3","12/12/2021"
"045408","AR","80.6","75.7","12/12/2021"
"045409","AR","92.6","72.7","12/12/2021"
"045410","AR","90.3","96.2","12/12/2021"
"045411","AR","76.7","86.4","12/12/2021"
"045412","AR","85.4","74.5","12/12/2021"
"045413","AR","91.8","93.0","12/12/2021"
"045414","AR","88.2","53.4","12/12/2021"
"045415","AR","73.3","70.7","12/12/2021"
"045416","AR","88.6","92.8","12/12/2021"
"045417","AR","83.6","60.7","12/12/2021"
"045418","AR","82.8","64.0","12/12/2021"
"045419","AR","97.9","95.9","12/12/2021"
"045421","AR","89.7","59.7","12/12/2021"
"045422","AR","100.0","75.3","12/12/2021"
"045424","AR","78.1","66.2","12/12/2021"
"045427","AR","93.3","98.8","12/12/2021"
"045428","AR","84.0","91.7","12/12/2021"
"045430","AR","95.2","61.2","12/12/2021"
"045431","AR","91.4","69.6","12/12/2021"
"045432","AR","90.1","89.1","12/12/2021"
"045433","AR","97.9","83.0","12/12/2021"
"045434","AR","89.9","95.7","12/12/2021"
"045435","AR","93.9","97.5","12/12/2021"
"045436","AR","98.0","85.7","12/12/2021"
"045437","AR","98.0","63.9","12/12/2021"
"045438","AR","94.9","87.5","12/12/2021"
"045439","AR","74.6","61.0","12/12/2021"
"045440","AR","81.1","66.7","12/12/2021"
"045441","AR","88.3","47.2","12/12/2021"
"045442","AR","100.0","82.7","12/12/2021"
"045443","AR","Not Available","Not Available","12/12/2021"
"045445","AR","89.6","97.9","12/12/2021"
"045446","AR","95.9","47.3","12/12/2021"
"045447","AR","98.9","97.3","12/12/2021"
"045449","AR","0.0","82.8","12/12/2021"
"045450","AR","87.8","86.4","12/12/2021"
"045451","AR","64.3","68.0","12/12/2021"
"045452","AR","92.2","61.0","12/12/2021"
"045453","AR","89.2","95.3","12/12/2021"
"045454","AR","90.2","88.1","12/12/2021"
"045455","AR","94.3","94.4","12/12/2021"
"045456","AR","92.3","85.5","12/12/2021"
"045457","AR","96.5","81.0","12/12/2021"
